"id","date","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","f65","f66","f67","f68","f69","f70","f71","f72","f73","f74","f75","f76","f77","f78","f79","f80","f81","f82","f83","f84","f85","f86","f87","f88","f89","f90","f91","f92","f93","f94","f95","f96","f97","f98","f99","f100","f101","f102","f103","f104","f105","f106","f107","f108","f109","f110","f111","f112","f113","f114","f115","f116","f117","f118","f119","f120","f121","f122","f123","f124","f125","f126","f127","f128","f129","f130","f131","f132","f133","f134","f135","f136","f137","f138","f139","f140","f141","f142","f143","f144","f145","f146","f147","f148","f149","f150","f151","f152","f153","f154","f155","f156","f157","f158","f159","f160","f161","f162","f163","f164","f165","f166","f167","f168","f169","f170","f171","f172","f173","f174","f175","f176","f177","f178","f179","f180","f181","f182","f183","f184","f185","f186","f187","f188","f189","f190","f191","f192","f193","f194","f195","f196","f197","f198","f199","f200","f201","f202","f203","f204","f205","f206","f207","f208","f209","f210","f211","f212","f213","f214","f215","f216","f217","f218","f219","f220","f221","f222","f223","f224","f225","f226","f227","f228","f229","f230","f231","f232","f233","f234","f235","f236","f237","f238","f239","f240","f241","f242","f243","f244","f245","f246","f247","f248","f249","f250","f251","f252","f253","f254","f255","f256","f257","f258","f259","f260","f261","f262","f263","f264","f265","f266","f267","f268","f269","f270","f271","f272","f273","f274","f275","f276","f277","f278","f279","f280","f281","f282","f283","f284","f285","f286","f287","f288","f289","f290","f291","f292","f293","f294","f295","f296","f297"
"8e8290c270ec4bc3448dd5edd35c6f059b42d38f9ddd6fda5578f0e340908fa4","20180120","0","0","1","1","100809","1","3","2","0","1","0","1","1","2","2","1","2","2","1","1","15","0","92","0","0","0","1","1","1","1","1","1","1","0","0","","","","","","","","","","","","","1","1","1","0","1","1","1","1","2","5","4","1","1","3","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","3","2","2","2","2","2","1","2","2","1","1","2","2","1","1","2","2","1","1","1","3","2","1","2","1","2","1","1","2","1","2","1","1","1","2","1","1","1","1","1","3","4","4","6","24","60","60","1","2","3","3","2","2","2","2","1","1","2","2","2","1","2","3","2","3","2","1","2","2","3","2","2","1","10","11","2","2","1","3","4","2","2","3","12","13","2","1","2","5","7","1","2","1","1","2","2","1","2","2","7","1","2","3","2","1","1","2","1","1","1","0","2","1","1","71","171","301","337","385","31","75","122","130","130","302","302","302","134","302","215","215","215","94","214"
"f36c5fa5c0e7afccf733a4d74c7e06ffe43cc8fd24eda7c335237327bb02e02b","20180105","1","1","0","0","100808","1","5","2","2","1","1","1","2","0","1","0","0","0","1","0","30","1","173","0","0","1","0","0","1","1","0","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","1","1","2","2","1","1","2","1","1","2","1","1","2","2","2","2","1","2","2","1","1","1","1","2","1","2","2","2","2","2","2","1","2","1","1","1","1","2","12","13","12","13","13","13","12","2","1","2","1","13","12","12","12","1","1","1","1","1","2","1","2","2","1","2","2","2","2","1","2","2","2","3","3","2","2","2","1","2","3","3","2","3","3","2","2","1","1","2","2","1","2","2","2","13","13","12","12","13","2","3","2","1","1","1","3","3","1","2","2","1","2","1","77","78","78","77","78","38","39","39","39","39","39","40","40","39","40","39","39","39","39","39"
"ee85f808b1fd49eaba308527e1686c509dc8e3e50574888e0f5f8bc21733711c","20180109","0","0","0","0","100803","0","6","1","1","0","2","1","2","2","1","1","2","2","2","0","0","0","1","1","0","1","0","0","0","1","1","","","","","","","","","","","","","","","","","","","","","0","1","","","","","","","","","","","2","2","7","3","4","3","7","7","6","6","6","6","3","3","2","3","5","6","352","514","513","352","514","2","1","1","1","2","1","2","2","1","2","2","2","2","3","3","3","5","6","6","6","3","7","7","7","1","2","1","2","1","1","2","1","1","1","2","2","2","1","2","1","1","1","2","1","2","1","2","1","1","2","2","1","2","2","1","1","1","2","1","2","2","2","2","2","2","2","1","5","2","2","2","1","1","2","1","2","2","1","2","2","2","1","1","1","1","2","1","1","1","1","2","1","2","1","1","1","2","2","2","2","1","1","2","1","2","1","2","2","1","2","1","1","1","2","2","2","1","2","2","3","6","6","6","5","2","2","1","2","3","3","2","4","2","2","2","1","2","1","1","1","2","1","1","2","1","1","1","2","1","2","1","1","2","1","2","1","2","2","2","2","4","4","1","2","2","1","1","1","2","1","2","2","2","1","1","4","4","1","3","2","1","2","2","2","1","1","2","2","2","2","2","2","1","2","4","4","2","1","2","2","2","2","2","2","2","2","2","2","1","1","2"
"0df905aa187938d56a9b0816b13f54ac1f87d658a33cd06505b738c66b54fd3f","20180118","1","1","1","1","100808","0","3","2","1","2","0","1","1","1","0","1","2","2","1","0","17","0","110","0","0","1","0","0","1","1","0","0","0","1","0","","","","","","","","","","","","","0","1","0","0","1","0","2","1","3","3","4","2","1","3","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","2","2","1","1","2","1","2","1","1","2","2","2","2","1","2","2","1","1","1","3","2","3","1","2","1","2","1","1","1","1","2","2","1","2","2","2","2","1","1","2","2","1","1","3","5","6","6","2","1","2","1","1","1","1","2","1","2","2","2","2","1","2","2","2","2","1","1","2","1","2","1","1","1","2","1","2","2","1","1","2","1","1","2","2","2","2","2","1","2","2","2","2","1","2","1","2","1","2","2","3","1","1","3","1","2","2","1","2","1","2","1","1","1","1","33","257","301","351","352","20","105","124","127","127","301","301","302","122","301","208","208","207","89","207"
"15f532f979c4f092bbbe28e5409c8c3b8454ece8f1ab3ee00755b4949ef75c03","20180109","1","1","1","1","100809","0","2","2","1","2","0","1","0","0","1","2","1","1","0","0","26","1","151","0","1","1","0","0","1","1","0","0","1","1","1","","","","","","","","","","","","","1","1","0","0","0","0","1","1","2","1","2","2","2","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","1","2","1","2","2","2","2","1","1","3","3","3","3","3","4","2","2","3","3","3","4","4","2","2","1","2","1","2","2","2","2","1","1","2","2","1","1","1","1","1","2","4","8","13","16","16","17","1","1","1","2","2","2","3","3","2","1","1","1","1","2","2","2","1","1","2","2","1","1","2","2","2","1","1","2","2","1","1","2","1","1","2","3","2","2","1","1","1","2","2","1","1","2","2","1","2","1","1","3","4","1","2","2","2","1","1","2","2","2","1","1","2","2","1","39","302","301","302","302","27","161","162","161","161","301","302","302","118","302","251","251","251","101","251"
"614728f2aba299d20ddffca7e1ebc38ae8f239663562a9a3602e1e2c373f7299","20180201","1","0","2","1","","1","3","1","0","1","1","2","1","0","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","159","244","244","16","2","1","1","1","1","2","2","2","2","1","3","2","2","1","2","2","1","2","3","2","2","2","2","2","1","1","1","1","1","2","2","2","1","2","2","1","1","1","1","2","1","3","6","24","41","15","158","243","244","15","194","301","301","10","26","27","28","14","119","149","150","159","243","243","12","136","245","246","6","38","197","386","806","6","33","117","169","172","7","93","301","301","302","7","80","245","245","245","2","2","1","2","1","1","1","2","2","1","1","2","2","1","1","2","1","1","2","1","0","1","0","1","","","","","","","","","","","","","","","","","","","",""
"3dc22d969895bc4afdaa5266d1586ae1a360adfcc638b5fb1e2f242bbbc869eb","20180203","0","1","0","1","100810","1","4","2","0","1","0","1","1","2","1","1","2","2","0","1","2","0","5","1","1","1","0","1","1","0","0","1","0","0","0","","","","","","","","","","","","","0","0","1","0","0","0","3","3","4","4","3","2","2","3","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","1","1","2","2","1","1","2","1","2","1","2","2","1","2","2","2","1","1","1","1","2","1","1","2","1","1","2","2","2","1","1","2","1","1","2","2","2","2","2","1","6","7","12","23","48","49","48","1","2","2","2","5","5","5","5","1","2","2","1","2","2","1","2","2","1","1","2","2","1","2","2","2","2","1","1","1","1","2","1","2","5","4","4","4","5","1","1","1","1","1","1","1","1","2","1","2","2","1","16","17","2","10","9","1","1","1","2","1","1","2","1","2","2","2","1","62","228","345","832","1","37","83","116","146","302","307","322","11","234","193","193","193","7","148"
"b6cba0173d6a894f443578b5d82c00444dfe24c5e1705d4b2b835062eeb61d7a","20180115","0","0","0","0","100809","1","2","1","0","2","1","2","1","1","2","1","2","2","2","0","0","1","0","1","1","1","1","1","1","0","1","1","1","0","1","","","","","","","","","","","","","0","0","1","0","1","0","2","1","6","9","9","2","2","5","7","7","2","2","9","2","2","1","3","6","24","31","25","31","1","2","3","3","29","37","6","873.6","1008.6","116","206.5","2","1","2","1","2","1","2","2","1","1","2","3","7","10","10","4","8","26","33","33","4","9","26","33","2","1","1","2","2","1","1","1","2","1","1","2","2","1","1","1","1","2","1","2","2","1","2","1","1","2","1","2","2","1","1","1","1","1","1","1","2","1","1","1","1","1","2","8","2","2","1","1","1","2","2","2","2","1","1","1","2","1","1","2","1","1","2","2","2","1","2","2","1","2","2","2","1","2","2","1","2","1","2","1","1","2","1","1","1","1","2","2","2","2","2","2","1","2","4","3","9","26","33","32","1","1","1","1","1","1","1","7","1","2","1","1","2","2","1","2","2","2","2","2","1","2","2","2","1","1","1","1","1","1","2","2","1","2","2","1","7","8","1","2","2","1","2","1","1","1","2","2","2","1","1","2","2","2","2","2","2","1","1","2","1","1","2","1","2","0","2","2","1","2","2","1","2","2","1","2","2","2","5","7","1","1","2","2","1","2","1"
"84d010a48c747947588589473e2ebdc59db3d348849c5b67759dfbcd1d92f35e","20180110","1","1","1","1","100804","0","5","1","1","1","0","1","1","1","0","1","1","2","2","1","25","0","147","1","0","0","1","0","1","0","0","0","1","1","1","","","","","","","","","","","","","1","0","0","0","0","1","17","16","123","123","123","1","1","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","2","1","1","1","2","1","1","2","1","2","2","1","1","1","1","2","2","2","160","160","161","161","160","161","161","2","2","1","2","121","120","120","121","1","1","1","1","2","1","2","1","1","2","1","2","2","1","2","112","112","112","111","112","2","1","1","1","2","120","120","120","121","120","2","1","1","1","2","2","2","1","2","2","160","161","160","161","161","151","152","151","2","1","1","151","151","2","2","2","2","2","2","178","301","301","302","301","7","79","79","78","79","302","301","302","31","302","249","249","250","22","250"
"bc00fec7ff8b3e4f8bd826048da109e7fe40fcc604ba28ce78576e05a4e67fba","20180127","1","0","1","1","","1","4","1","0","0","1","2","1","1","1","1","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","121","249","249","56","1","2","2","1","2","1","2","1","3","3","4","3","3","2","1","1","2","2","2","2","2","1","2","1","2","1","2","1","1","1","1","1","2","2","2","2","1","1","1","1","3","6","7","10","15","56","120","249","250","58","143","302","301","18","22","29","29","41","89","153","153","120","250","249","45","96","255","254","13","41","186","376","718","12","35","132","183","192","19","54","302","302","302","18","45","254","254","254","1","1","1","1","1","1","2","2","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","",""
