"id","hour","mobile","clicked","a","date"
0,1423418,1.0,1.11123,asdf,"2018/10/13 10:13:58"
1,191234123,0.5,3.120131,asdf,"2018/10/13 10:13:58"
2,151234123,0.9,7.1230,sdfwe,"2018/10/13 10:13:58"
3,16346546,1.1,9.1340,sdafa,"2018/10/13 10:13:58"
4,1155454,1.3,11.12340,,"2018/10/13 10:13:58"
5,1223452345,0.7,7.23546450,,"2018/10/13 10:13:58"
6,172345234,0.8,8.456241230,,"2018/10/13 10:13:58"
7,1856786793,1.5,3.21340,,"2018/10/13 10:13:58"
8,10234523456,2.0,5.4564560,,"2018/10/13 10:13:58"
9,92345456,0.6,12.345630,,"2018/10/13 10:13:58"
10,17456345,0.8,10.4563520,,"2018/10/13 10:13:58"
11,11457547,0.7,11.2344560,,"2018/10/13 10:13:58"
12,153456345,0.9,9.456670,,"2018/10/13 10:13:58"
